iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,P_HTHAB,CY	: 	: 	0.00 	0.00 	0.68 	0.00 	0.00 	0.00 	0.00 	0.23 	0.00 	0.48 	0.00 	0.25 
ICCS0101,PER_CNV,F,P_HTHAB,CZ	0.31 	0.37 	0.22 	0.30 	0.24 	0.32 	0.26 	0.39 	0.34 	0.24 	0.43 	0.36 	0.21 	0.28 
ICCS0101,PER_CNV,F,P_HTHAB,DE	0.07 	0.08 	0.07 	0.08 	0.10 	0.07 	0.09 	0.08 	0.07 	0.07 	0.09 	0.09 	0.11 	: 
ICCS0101,PER_CNV,F,P_HTHAB,DK	0.10 	0.10 	0.03 	0.14 	0.10 	0.14 	0.11 	0.21 	0.14 	0.11 	0.07 	0.21 	0.04 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,EE	0.14 	0.14 	0.14 	0.29 	1.00 	0.29 	0.57 	0.57 	1.14 	0.42 	0.28 	0.42 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,EL	0.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,ES	0.12 	0.10 	0.08 	0.06 	0.10 	0.11 	0.12 	0.08 	0.05 	0.04 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,EU_V	0.22 	0.20 	0.19 	0.17 	0.19 	0.16 	0.18 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,FI	0.29 	0.32 	0.29 	0.21 	0.14 	0.14 	0.29 	0.25 	0.51 	0.25 	0.47 	0.26 	0.52 	0.26 
ICCS0101,PER_CNV,F,P_HTHAB,FR	0.10 	0.08 	0.09 	0.11 	0.11 	0.13 	0.11 	0.10 	0.09 	0.10 	0.17 	0.24 	0.20 	0.24 
ICCS0101,PER_CNV,F,P_HTHAB,HR	0.34 	0.34 	0.33 	0.09 	0.42 	0.42 	0.05 	0.09 	0.36 	0.27 	0.23 	0.13 	0.18 	0.04 
ICCS0101,PER_CNV,F,P_HTHAB,HU	0.12 	0.20 	0.27 	0.23 	0.47 	0.39 	0.19 	0.60 	0.39 	0.23 	0.36 	0.34 	0.51 	0.51 
ICCS0101,PER_CNV,F,P_HTHAB,IS	: 	0.00 	: 	: 	: 	0.00 	0.61 	: 	0.00 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,IT	: 	: 	: 	0.08 	0.08 	0.09 	0.09 	0.05 	0.07 	0.04 	0.05 	0.08 	0.06 	0.05 
ICCS0101,PER_CNV,F,P_HTHAB,LT	0.47 	0.54 	0.67 	1.06 	0.85 	0.77 	0.63 	1.26 	1.37 	1.42 	1.09 	0.95 	0.70 	1.33 
ICCS0101,PER_CNV,F,P_HTHAB,LU	0.00 	0.32 	0.00 	0.00 	: 	0.70 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,P_HTHAB,LV	1.08 	0.58 	0.29 	1.15 	0.76 	0.85 	0.93 	1.20 	1.64 	0.63 	0.53 	1.13 	0.51 	0.68 
