iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_SUSP,T,P_HTHAB,SE	3.49 	3.80 	3.90 	3.56 	3.16 	3.32 	2.83 	2.65 	2.24 	2.31 	2.58 	2.66 	2.26 	2.18 
ICCS0101,PER_SUSP,T,P_HTHAB,SI	0.57 	0.38 	1.15 	0.44 	0.87 	0.63 	0.68 	1.50 	1.02 	0.88 	0.93 	0.59 	0.69 	0.55 
ICCS0101,PER_SUSP,T,P_HTHAB,SK	1.17 	1.01 	1.49 	0.86 	1.01 	0.88 	0.77 	0.94 	1.15 	1.42 	1.97 	1.43 	1.47 	1.62 
ICCS0101,PER_SUSP,T,P_HTHAB,TR	7.21 	7.72 	6.41 	6.66 	8.33 	7.65 	7.07 	: 	: 	5.41 	5.08 	5.17 	6.69 	: 
ICCS0101,PER_SUSP,T,P_HTHAB,XK	: 	14.03 	92.44 	3.22 	2.58 	2.71 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,AL	12 	9 	13 	15 	12 	17 	16 	13 	25 	26 	23 	19 	7 	19 
ICCS0101,PER_VICT,F,NR,AT	40 	37 	40 	44 	37 	31 	17 	23 	30 	38 	35 	33 	56 	39 
ICCS0101,PER_VICT,F,NR,BA	7 	5 	10 	8 	10 	15 	18 	11 	14 	24 	16 	10 	15 	: 
ICCS0101,PER_VICT,F,NR,BG	28 	26 	23 	38 	35 	22 	29 	26 	34 	37 	30 	27 	35 	36 
ICCS0101,PER_VICT,F,NR,CH	25 	27 	26 	28 	20 	25 	30 	24 	32 	17 	23 	26 	27 	: 
ICCS0101,PER_VICT,F,NR,CY	7 	5 	10 	6 	0 	5 	2 	5 	3 	5 	6 	1 	7 	2 
ICCS0101,PER_VICT,F,NR,CZ	27 	39 	39 	: 	30 	36 	49 	45 	51 	48 	44 	53 	38 	44 
ICCS0101,PER_VICT,F,NR,DE	337 	357 	276 	367 	380 	469 	327 	339 	328 	296 	338 	393 	386 	337 
ICCS0101,PER_VICT,F,NR,DK	15 	17 	27 	20 	20 	23 	24 	31 	13 	16 	15 	22 	: 	: 
ICCS0101,PER_VICT,F,NR,EE	4 	10 	6 	5 	8 	9 	10 	9 	18 	17 	14 	15 	: 	: 
ICCS0101,PER_VICT,F,NR,EL	33 	19 	19 	29 	23 	26 	30 	27 	50 	39 	32 	34 	25 	33 
ICCS0101,PER_VICT,F,NR,ES	97 	119 	126 	117 	113 	113 	121 	127 	121 	124 	128 	152 	132 	: 
ICCS0101,PER_VICT,F,NR,FI	: 	: 	30 	24 	30 	22 	16 	27 	24 	40 	37 	28 	34 	44 
ICCS0101,PER_VICT,F,NR,FR	228 	194 	261 	223 	257 	282 	361 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,HR	14 	19 	14 	8 	18 	20 	15 	17 	21 	18 	21 	32 	24 	24 
ICCS0101,PER_VICT,F,NR,HU	26 	39 	31 	43 	44 	46 	102 	67 	71 	58 	42 	61 	63 	70 
ICCS0101,PER_VICT,F,NR,IE	7 	6 	8 	10 	15 	2 	7 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,IS	1 	4 	0 	1 	2 	1 	0 	2 	0 	1 	1 	0 	0 	: 
ICCS0101,PER_VICT,F,NR,IT	119 	116 	111 	141 	132 	151 	143 	153 	180 	150 	161 	153 	173 	147 
ICCS0101,PER_VICT,F,NR,LI	1 	1 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
ICCS0101,PER_VICT,F,NR,LT	22 	29 	22 	17 	26 	46 	49 	53 	60 	53 	66 	75 	64 	81 
ICCS0101,PER_VICT,F,NR,LU	: 	: 	: 	: 	: 	: 	1 	2 	0 	0 	0 	5 	0 	: 
ICCS0101,PER_VICT,F,NR,LV	36 	42 	42 	43 	42 	34 	29 	36 	24 	37 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,ME	2 	3 	5 	2 	4 	3 	3 	4 	1 	3 	3 	7 	7 	5 
ICCS0101,PER_VICT,F,NR,MK	: 	: 	: 	: 	4 	6 	2 	10 	7 	11 	4 	15 	12 	9 
ICCS0101,PER_VICT,F,NR,MT	0 	1 	3 	4 	1 	2 	2 	1 	0 	3 	3 	1 	3 	1 
ICCS0101,PER_VICT,F,NR,NL	37 	44 	42 	36 	43 	32 	42 	30 	56 	50 	50 	54 	50 	47 
ICCS0101,PER_VICT,F,NR,NO	16 	15 	16 	9 	13 	11 	14 	13 	20 	9 	52 	15 	12 	10 
ICCS0101,PER_VICT,F,NR,PL	79 	89 	80 	83 	94 	71 	108 	91 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,RO	76 	96 	71 	82 	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,RS	27 	22 	28 	28 	29 	41 	31 	38 	47 	38 	39 	42 	38 	38 
ICCS0101,PER_VICT,F,NR,SE	24 	25 	25 	33 	27 	29 	29 	25 	26 	21 	25 	: 	: 	: 
ICCS0101,PER_VICT,F,NR,SI	6 	6 	7 	5 	9 	2 	11 	6 	3 	6 	7 	8 	7 	5 
ICCS0101,PER_VICT,F,NR,SK	18 	28 	15 	26 	19 	20 	14 	19 	23 	17 	31 	31 	32 	: 
ICCS0101,PER_VICT,F,NR,TR	434 	381 	450 	399 	424 	441 	412 	: 	: 	606 	629 	634 	1007 	: 
ICCS0101,PER_VICT,F,NR,UKC-L	: 	: 	: 	241 	220 	172 	171 	185 	182 	168 	170 	201 	193 	196 
ICCS0101,PER_VICT,F,NR,UKM	: 	: 	: 	15 	14 	16 	17 	15 	15 	12 	20 	21 	22 	33 
ICCS0101,PER_VICT,F,NR,UKN	: 	: 	: 	5 	9 	2 	5 	7 	5 	3 	4 	5 	5 	4 
ICCS0101,PER_VICT,F,NR,XK	3 	8 	3 	9 	13 	8 	10 	12 	4 	11 	9 	20 	11 	25 
ICCS0101,PER_VICT,F,P_HTHAB,AL	0.85 	0.63 	0.91 	1.05 	0.84 	1.20 	1.12 	0.91 	: 	: 	1.28 	: 	0.44 	1.20 
ICCS0101,PER_VICT,F,P_HTHAB,AT	0.88 	0.82 	0.89 	0.98 	0.83 	0.70 	0.39 	0.53 	0.69 	0.88 	0.81 	0.77 	1.31 	0.91 
ICCS0101,PER_VICT,F,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.22 	0.81 	0.51 	0.76 	: 
ICCS0101,PER_VICT,F,P_HTHAB,BG	0.79 	0.73 	0.64 	1.05 	0.96 	0.60 	0.78 	0.70 	0.91 	0.98 	0.79 	0.71 	0.91 	0.93 
ICCS0101,PER_VICT,F,P_HTHAB,CH	0.57 	0.62 	0.60 	0.65 	0.47 	0.59 	0.72 	0.58 	0.79 	0.42 	0.58 	0.66 	0.69 	: 
ICCS0101,PER_VICT,F,P_HTHAB,CY	1.53 	1.10 	2.23 	1.36 	0.00 	1.15 	0.46 	1.14 	0.67 	1.13 	1.39 	0.24 	1.72 	0.51 
ICCS0101,PER_VICT,F,P_HTHAB,CZ	0.50 	0.72 	0.72 	: 	0.56 	0.67 	0.91 	0.84 	0.95 	0.90 	0.82 	1.00 	0.72 	0.83 
ICCS0101,PER_VICT,F,P_HTHAB,DE	0.80 	0.85 	0.66 	0.87 	0.91 	1.13 	0.79 	0.82 	0.80 	0.72 	0.82 	0.94 	0.92 	0.80 
ICCS0101,PER_VICT,F,P_HTHAB,DK	0.51 	0.58 	0.93 	0.69 	0.69 	0.80 	0.84 	1.09 	0.46 	0.57 	0.53 	0.79 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,EE	0.57 	1.43 	0.86 	0.72 	1.15 	1.29 	1.43 	1.28 	2.56 	2.40 	1.97 	2.11 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,EL	0.60 	0.35 	0.34 	0.52 	0.41 	0.47 	0.54 	0.48 	0.89 	0.69 	0.56 	0.60 	0.44 	0.58 
ICCS0101,PER_VICT,F,P_HTHAB,ES	0.40 	0.49 	0.53 	0.49 	0.48 	0.48 	0.51 	0.54 	0.51 	0.52 	0.54 	0.65 	0.57 	: 
ICCS0101,PER_VICT,F,P_HTHAB,EU_V	0.60 	0.64 	0.61 	0.66 	0.69 	0.72 	0.75 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,FI	: 	: 	1.07 	0.86 	1.07 	0.79 	0.58 	0.97 	0.87 	1.46 	1.35 	1.03 	1.25 	1.63 
ICCS0101,PER_VICT,F,P_HTHAB,FR	0.65 	0.56 	0.75 	0.64 	0.75 	0.82 	1.05 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,HR	0.68 	0.91 	0.67 	0.38 	0.84 	0.92 	0.69 	0.77 	0.95 	0.81 	0.95 	1.44 	1.07 	1.07 
ICCS0101,PER_VICT,F,P_HTHAB,HU	0.51 	0.77 	0.61 	0.84 	0.86 	0.89 	1.98 	1.29 	1.37 	1.11 	0.80 	1.16 	1.20 	1.33 
ICCS0101,PER_VICT,F,P_HTHAB,IE	0.28 	0.24 	0.32 	0.41 	0.62 	0.08 	0.30 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,IS	0.56 	2.26 	0.00 	0.59 	1.20 	0.61 	0.00 	1.23 	0.00 	0.63 	0.63 	0.00 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,IT	0.39 	0.38 	0.36 	0.45 	0.42 	0.48 	0.46 	0.49 	0.58 	0.49 	0.53 	0.50 	0.57 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,LI	5.08 	5.12 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,LT	1.48 	1.95 	1.47 	1.12 	1.69 	2.95 	3.11 	3.34 	3.74 	3.27 	4.01 	4.43 	3.74 	4.70 
ICCS0101,PER_VICT,F,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	0.36 	0.73 	0.00 	0.00 	0.00 	1.98 	0.00 	: 
ICCS0101,PER_VICT,F,P_HTHAB,LV	3.54 	4.09 	4.06 	4.12 	3.98 	3.19 	2.70 	3.32 	2.19 	3.33 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,ME	0.64 	0.95 	1.59 	0.64 	1.27 	0.95 	0.95 	1.27 	0.32 	0.96 	0.96 	2.23 	2.24 	1.60 
ICCS0101,PER_VICT,F,P_HTHAB,MK	: 	: 	: 	: 	0.39 	0.58 	0.19 	0.97 	0.68 	1.07 	0.39 	1.46 	1.17 	0.88 
ICCS0101,PER_VICT,F,P_HTHAB,MT	0.00 	0.40 	1.24 	1.70 	0.44 	0.89 	0.93 	0.47 	0.00 	1.43 	1.44 	0.48 	1.45 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,NL	0.42 	0.50 	0.48 	0.42 	0.50 	0.37 	0.49 	0.35 	0.66 	0.59 	0.59 	0.65 	0.60 	0.57 
ICCS0101,PER_VICT,F,P_HTHAB,NO	0.60 	0.56 	0.61 	0.34 	0.50 	0.43 	0.55 	0.51 	0.80 	0.36 	2.11 	0.62 	0.50 	0.42 
ICCS0101,PER_VICT,F,P_HTHAB,PL	0.40 	0.45 	0.41 	0.42 	0.48 	0.36 	0.55 	0.46 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,RO	0.77 	0.97 	0.72 	0.82 	0.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,RS	0.77 	0.62 	0.78 	0.78 	0.80 	1.13 	0.85 	1.04 	1.28 	1.03 	1.05 	1.12 	1.01 	1.00 
ICCS0101,PER_VICT,F,P_HTHAB,SE	0.47 	0.49 	0.49 	0.66 	0.54 	0.59 	0.59 	0.52 	0.54 	0.44 	0.53 	: 	: 	: 
ICCS0101,PER_VICT,F,P_HTHAB,SI	0.57 	0.57 	0.67 	0.48 	0.86 	0.19 	1.06 	0.58 	0.29 	0.58 	0.68 	0.77 	0.68 	0.49 
ICCS0101,PER_VICT,F,P_HTHAB,SK	0.64 	1.00 	0.54 	0.93 	0.68 	0.72 	0.50 	0.68 	0.83 	0.61 	1.12 	1.12 	1.16 	: 
ICCS0101,PER_VICT,F,P_HTHAB,TR	1.04 	0.92 	1.10 	0.99 	1.07 	1.12 	1.06 	: 	: 	1.63 	1.71 	1.76 	2.83 	: 
ICCS0101,PER_VICT,F,P_HTHAB,UKC-L	: 	: 	: 	0.81 	0.74 	0.58 	0.59 	0.71 	0.63 	0.59 	0.60 	0.71 	0.69 	0.70 
ICCS0101,PER_VICT,F,P_HTHAB,UKM	: 	: 	: 	: 	0.50 	0.58 	0.62 	0.55 	0.55 	0.44 	0.73 	0.78 	0.82 	1.23 
ICCS0101,PER_VICT,F,P_HTHAB,UKN	: 	: 	: 	: 	0.95 	0.21 	0.43 	0.75 	0.54 	0.32 	0.43 	0.54 	0.55 	0.44 
ICCS0101,PER_VICT,F,P_HTHAB,XK	: 	0.88 	0.33 	0.99 	: 	0.45 	: 	: 	: 	: 	1.01 	1.83 	1.02 	2.35 
ICCS0101,PER_VICT,M,NR,AL	54 	52 	52 	53 	56 	82 	66 	104 	104 	131 	124 	108 	78 	74 
ICCS0101,PER_VICT,M,NR,AT	25 	28 	37 	42 	33 	23 	27 	22 	32 	42 	42 	28 	101 	85 
ICCS0101,PER_VICT,M,NR,BA	25 	38 	32 	31 	32 	30 	39 	39 	32 	39 	35 	46 	56 	: 
ICCS0101,PER_VICT,M,NR,BG	60 	43 	60 	54 	68 	57 	97 	86 	75 	104 	98 	121 	115 	136 
ICCS0101,PER_VICT,M,NR,CH	17 	20 	20 	22 	25 	20 	27 	17 	25 	28 	23 	26 	24 	: 
ICCS0101,PER_VICT,M,NR,CY	9 	10 	5 	9 	7 	8 	13 	6 	9 	17 	3 	7 	12 	7 
ICCS0101,PER_VICT,M,NR,CZ	20 	38 	58 	: 	36 	29 	39 	36 	39 	57 	42 	50 	56 	70 
ICCS0101,PER_VICT,M,NR,DE	358 	425 	347 	421 	433 	494 	355 	377 	354 	363 	400 	400 	417 	385 
ICCS0101,PER_VICT,M,NR,DK	32 	38 	39 	38 	51 	33 	38 	43 	35 	31 	31 	20 	: 	: 
ICCS0101,PER_VICT,M,NR,EE	22 	32 	20 	23 	21 	24 	35 	33 	34 	46 	51 	49 	: 	: 
ICCS0101,PER_VICT,M,NR,EL	56 	59 	59 	70 	63 	58 	63 	80 	103 	127 	152 	142 	127 	111 
ICCS0101,PER_VICT,M,NR,ES	193 	179 	205 	172 	194 	181 	181 	196 	180 	238 	258 	238 	267 	: 
ICCS0101,PER_VICT,M,NR,FI	: 	: 	58 	62 	37 	52 	66 	61 	65 	48 	73 	91 	86 	89 
ICCS0101,PER_VICT,M,NR,FR	506 	498 	492 	473 	453 	497 	659 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,HR	19 	21 	19 	16 	28 	24 	22 	19 	25 	33 	28 	30 	25 	47 
ICCS0101,PER_VICT,M,NR,HU	49 	41 	33 	43 	116 	45 	119 	79 	83 	66 	103 	77 	76 	111 
ICCS0101,PER_VICT,M,NR,IE	15 	27 	24 	29 	24 	32 	23 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,IS	1 	1 	1 	2 	1 	0 	3 	0 	1 	0 	2 	2 	1 	: 
ICCS0101,PER_VICT,M,NR,IT	184 	169 	206 	219 	244 	253 	328 	334 	326 	339 	374 	371 	417 	465 
ICCS0101,PER_VICT,M,NR,LI	1 	0 	1 	: 	: 	0 	0 	1 	0 	0 	0 	1 	0 	: 
ICCS0101,PER_VICT,M,NR,LT	50 	73 	72 	75 	74 	107 	123 	106 	138 	149 	145 	144 	188 	217 
ICCS0101,PER_VICT,M,NR,LU	: 	: 	: 	: 	: 	: 	4 	2 	0 	0 	4 	5 	5 	: 
ICCS0101,PER_VICT,M,NR,LV	21 	28 	23 	41 	44 	35 	37 	27 	26 	33 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,ME	13 	15 	18 	12 	11 	25 	14 	16 	9 	14 	18 	8 	15 	19 
ICCS0101,PER_VICT,M,NR,MK	: 	: 	: 	: 	27 	13 	23 	25 	15 	18 	26 	28 	23 	26 
ICCS0101,PER_VICT,M,NR,MT	2 	6 	2 	3 	8 	3 	2 	5 	7 	9 	0 	3 	1 	5 
ICCS0101,PER_VICT,M,NR,NL	77 	63 	67 	64 	89 	62 	62 	93 	69 	95 	93 	90 	104 	103 
ICCS0101,PER_VICT,M,NR,NO	13 	16 	12 	16 	15 	16 	10 	16 	26 	18 	59 	14 	17 	24 
ICCS0101,PER_VICT,M,NR,PL	194 	177 	173 	190 	193 	189 	186 	188 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,RO	168 	185 	173 	168 	166 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,RS	50 	62 	60 	77 	65 	82 	73 	82 	95 	73 	96 	88 	116 	102 
ICCS0101,PER_VICT,M,NR,SE	89 	99 	86 	75 	86 	77 	83 	62 	61 	46 	56 	: 	: 	: 
ICCS0101,PER_VICT,M,NR,SI	3 	5 	7 	4 	10 	8 	9 	10 	9 	8 	9 	7 	6 	5 
ICCS0101,PER_VICT,M,NR,SK	31 	33 	54 	36 	55 	37 	30 	46 	48 	45 	57 	51 	44 	: 
ICCS0101,PER_VICT,M,NR,TR	1702 	1727 	1570 	1760 	2113 	2257 	1818 	: 	: 	2610 	2432 	2430 	2685 	: 
ICCS0101,PER_VICT,M,NR,UKC-L	: 	: 	: 	429 	484 	503 	374 	324 	339 	376 	355 	431 	402 	442 
ICCS0101,PER_VICT,M,NR,UKM	: 	: 	: 	46 	45 	49 	42 	47 	47 	51 	73 	79 	63 	64 
ICCS0101,PER_VICT,M,NR,UKN	: 	: 	: 	18 	15 	16 	19 	10 	15 	18 	19 	18 	24 	20 
ICCS0101,PER_VICT,M,NR,XK	30 	29 	21 	35 	35 	30 	32 	43 	37 	79 	53 	86 	62 	85 
ICCS0101,PER_VICT,M,P_HTHAB,AL	3.83 	3.66 	3.64 	3.68 	3.85 	5.62 	4.52 	7.12 	: 	: 	8.72 	: 	4.92 	4.66 
ICCS0101,PER_VICT,M,P_HTHAB,AT	0.57 	0.64 	0.85 	0.97 	0.77 	0.54 	0.64 	0.53 	0.78 	1.02 	1.03 	0.69 	2.49 	2.10 
ICCS0101,PER_VICT,M,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.08 	1.86 	2.45 	2.98 	: 
ICCS0101,PER_VICT,M,P_HTHAB,BG	1.79 	1.28 	1.77 	1.58 	1.97 	1.64 	2.77 	2.44 	2.12 	2.92 	2.73 	3.35 	3.16 	3.72 
ICCS0101,PER_VICT,M,P_HTHAB,CH	0.40 	0.47 	0.47 	0.52 	0.60 	0.49 	0.66 	0.42 	0.63 	0.71 	0.59 	0.68 	0.63 	: 
ICCS0101,PER_VICT,M,P_HTHAB,CY	2.06 	2.30 	1.17 	2.14 	1.68 	1.94 	3.16 	1.44 	2.14 	4.06 	0.73 	1.75 	3.08 	1.84 
ICCS0101,PER_VICT,M,P_HTHAB,CZ	0.38 	0.72 	1.11 	: 	0.69 	0.56 	0.75 	0.70 	0.76 	1.11 	0.82 	0.97 	1.09 	1.38 
ICCS0101,PER_VICT,M,P_HTHAB,DE	0.87 	1.04 	0.85 	1.03 	1.06 	1.22 	0.89 	0.95 	0.90 	0.93 	1.02 	1.00 	1.04 	0.96 
ICCS0101,PER_VICT,M,P_HTHAB,DK	1.10 	1.31 	1.35 	1.32 	1.78 	1.16 	1.35 	1.54 	1.26 	1.12 	1.12 	0.73 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,EE	3.49 	5.09 	3.20 	3.70 	3.40 	3.89 	5.69 	5.37 	5.52 	7.44 	8.23 	7.89 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,EL	1.08 	1.13 	1.13 	1.34 	1.21 	1.11 	1.20 	1.51 	1.92 	2.34 	2.79 	2.60 	2.33 	2.02 
ICCS0101,PER_VICT,M,P_HTHAB,ES	0.83 	0.77 	0.89 	0.75 	0.85 	0.79 	0.79 	0.86 	0.78 	1.03 	1.12 	1.04 	1.17 	: 
ICCS0101,PER_VICT,M,P_HTHAB,EU_V	1.07 	1.11 	1.12 	1.15 	1.23 	1.18 	1.33 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,FI	: 	: 	2.13 	2.28 	1.36 	1.92 	2.45 	2.28 	2.44 	1.81 	2.77 	3.47 	3.29 	3.43 
ICCS0101,PER_VICT,M,P_HTHAB,FR	1.55 	1.53 	1.51 	1.46 	1.40 	1.56 	2.05 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,HR	0.97 	1.07 	0.96 	0.81 	1.40 	1.19 	1.08 	0.93 	1.22 	1.60 	1.35 	1.45 	1.20 	2.26 
ICCS0101,PER_VICT,M,P_HTHAB,HU	1.05 	0.88 	0.71 	0.92 	2.48 	0.96 	2.53 	1.68 	1.76 	1.40 	2.17 	1.62 	1.60 	2.33 
ICCS0101,PER_VICT,M,P_HTHAB,IE	0.61 	1.10 	0.99 	1.21 	1.01 	1.37 	0.99 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,IS	0.53 	0.53 	0.55 	1.13 	0.58 	0.00 	1.82 	0.00 	0.62 	0.00 	1.25 	1.25 	0.62 	: 
ICCS0101,PER_VICT,M,P_HTHAB,IT	0.64 	0.58 	0.71 	0.74 	0.83 	0.86 	1.11 	1.13 	1.13 	1.18 	1.30 	1.29 	1.46 	1.64 
ICCS0101,PER_VICT,M,P_HTHAB,LI	5.16 	0.00 	5.26 	: 	: 	0.00 	0.00 	5.43 	0.00 	0.00 	0.00 	5.63 	0.00 	: 
ICCS0101,PER_VICT,M,P_HTHAB,LT	3.81 	5.60 	5.56 	5.78 	5.64 	8.05 	9.14 	7.82 	10.08 	10.77 	10.30 	9.93 	12.76 	14.59 
ICCS0101,PER_VICT,M,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	1.42 	0.73 	0.00 	0.00 	1.57 	2.00 	2.04 	: 
ICCS0101,PER_VICT,M,P_HTHAB,LV	2.40 	3.18 	2.60 	4.61 	4.91 	3.87 	4.06 	2.94 	2.81 	3.53 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,ME	4.24 	4.88 	5.85 	3.90 	3.57 	8.12 	4.55 	5.21 	2.93 	4.57 	5.88 	2.62 	4.93 	6.27 
ICCS0101,PER_VICT,M,P_HTHAB,MK	: 	: 	: 	: 	2.60 	1.25 	2.22 	2.42 	1.45 	1.74 	2.52 	2.72 	2.24 	2.54 
ICCS0101,PER_VICT,M,P_HTHAB,MT	0.75 	2.26 	0.79 	1.25 	3.45 	1.33 	0.93 	2.35 	3.34 	4.33 	0.00 	1.45 	0.49 	2.47 
ICCS0101,PER_VICT,M,P_HTHAB,NL	0.89 	0.73 	0.78 	0.75 	1.05 	0.74 	0.74 	1.12 	0.83 	1.15 	1.13 	1.10 	1.28 	1.27 
ICCS0101,PER_VICT,M,P_HTHAB,NO	0.48 	0.59 	0.45 	0.60 	0.57 	0.61 	0.38 	0.62 	1.03 	0.72 	2.40 	0.58 	0.71 	1.02 
ICCS0101,PER_VICT,M,P_HTHAB,PL	1.06 	0.96 	0.94 	1.03 	1.05 	1.03 	1.01 	1.02 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,RO	1.79 	1.96 	1.82 	1.76 	1.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,RS	1.49 	1.84 	1.77 	2.26 	1.90 	2.38 	2.11 	2.36 	2.72 	2.08 	2.72 	2.48 	3.25 	2.85 
ICCS0101,PER_VICT,M,P_HTHAB,SE	1.70 	1.91 	1.67 	1.48 	1.72 	1.56 	1.70 	1.29 	1.28 	0.97 	1.19 	: 	: 	: 
ICCS0101,PER_VICT,M,P_HTHAB,SI	0.28 	0.48 	0.67 	0.39 	0.98 	0.78 	0.88 	0.98 	0.88 	0.79 	0.89 	0.69 	0.60 	0.51 
ICCS0101,PER_VICT,M,P_HTHAB,SK	1.16 	1.24 	2.03 	1.36 	2.07 	1.40 	1.14 	1.74 	1.82 	1.71 	2.17 	1.94 	1.68 	: 
ICCS0101,PER_VICT,M,P_HTHAB,TR	4.06 	4.14 	3.82 	4.34 	5.28 	5.71 	4.66 	: 	: 	6.95 	6.57 	6.66 	7.48 	: 
ICCS0101,PER_VICT,M,P_HTHAB,UKC-L	: 	: 	: 	1.47 	1.67 	1.75 	1.32 	1.28 	1.21 	1.36 	1.29 	1.58 	1.49 	1.65 
ICCS0101,PER_VICT,M,P_HTHAB,UKM	: 	: 	: 	: 	1.71 	1.87 	1.61 	1.81 	1.82 	1.98 	2.85 	3.11 	2.50 	2.55 
ICCS0101,PER_VICT,M,P_HTHAB,UKN	: 	: 	: 	: 	1.63 	1.75 	2.10 	1.11 	1.67 	2.02 	2.14 	2.04 	2.74 	2.31 
ICCS0101,PER_VICT,M,P_HTHAB,XK	: 	3.31 	2.37 	3.94 	: 	2.83 	: 	: 	: 	: 	5.86 	7.71 	5.63 	7.82 
ICCS0101,PER_VICT,T,NR,AL	66 	61 	65 	68 	68 	99 	82 	117 	129 	157 	142 	127 	85 	93 
ICCS0101,PER_VICT,T,NR,AT	65 	65 	77 	86 	70 	54 	44 	45 	62 	80 	77 	61 	157 	124 
ICCS0101,PER_VICT,T,NR,BA	32 	43 	42 	39 	42 	45 	57 	50 	46 	63 	51 	56 	71 	30 
ICCS0101,PER_VICT,T,NR,BG	88 	69 	83 	92 	103 	79 	126 	112 	109 	141 	128 	148 	150 	172 
ICCS0101,PER_VICT,T,NR,CH	42 	47 	46 	50 	45 	45 	57 	41 	57 	45 	46 	52 	51 	: 
ICCS0101,PER_VICT,T,NR,CY	16 	15 	15 	15 	7 	13 	15 	11 	12 	22 	9 	8 	19 	9 
ICCS0101,PER_VICT,T,NR,CZ	47 	77 	97 	: 	66 	65 	88 	81 	90 	105 	86 	103 	94 	114 
ICCS0101,PER_VICT,T,NR,DE	695 	782 	623 	788 	813 	963 	682 	716 	682 	659 	738 	793 	803 	722 
ICCS0101,PER_VICT,T,NR,DK	47 	55 	66 	58 	71 	56 	62 	74 	48 	47 	46 	42 	: 	: 
ICCS0101,PER_VICT,T,NR,EE	26 	42 	26 	28 	29 	33 	45 	42 	52 	63 	65 	64 	69 	86 
ICCS0101,PER_VICT,T,NR,EL	89 	78 	78 	99 	86 	84 	93 	107 	153 	166 	184 	176 	152 	144 
ICCS0101,PER_VICT,T,NR,ES	290 	298 	331 	289 	307 	294 	302 	323 	302 	362 	387 	390 	399 	426 
ICCS0101,PER_VICT,T,NR,FI	: 	: 	88 	86 	67 	74 	82 	88 	89 	88 	110 	119 	120 	133 
ICCS0101,PER_VICT,T,NR,FR	734 	692 	753 	696 	710 	779 	1029 	792 	777 	784 	856 	796 	819 	1021 
ICCS0101,PER_VICT,T,NR,HR	33 	40 	33 	24 	46 	44 	37 	36 	46 	51 	49 	62 	49 	71 
ICCS0101,PER_VICT,T,NR,HU	75 	80 	64 	86 	160 	91 	221 	146 	154 	124 	145 	138 	139 	181 
